city,region,country,rank display,institution,location code,size,focus,research,age band,status,ar score,er score,fsr score,cpf score,ifr score,isr score,irn score,ger score,score scaled,year,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,check_city,longitude,latitude
Blacksburg,North America,United States,363,Virginia Polytechnic Institute and State University,US,XL,FC,VH,5,A,28.5,25.6,20,38.5,68.4,18.5,84.1,28.5,30.2,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-80.42599162,37.22838427
Lawrence,North America,United States,369,University of Kansas,US,L,FC,VH,5,A,14.9,16.1,80.5,11.2,68.9,8.2,80.9,23.1,29.9,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-95.25837102,38.95434387
Santa Cruz,North America,United States,375,"University of California, Santa Cruz",US,L,CO,VH,4,A,18.6,5,8,81.4,63.5,13.4,60.5,15.4,29.8,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-122.0784254,36.973169
Fort Collins,North America,United States,408,Colorado State University,US,L,CO,VH,5,A,19.1,19.2,63.5,20.8,21.2,5.3,77.9,19.8,27.9,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-105.087414,40.5729431
Stony Brook,North America,United States,416,"Stony Brook University, State University of New York",US,L,FC,VH,4,A,19.3,9.8,31.7,34.7,47.5,60.2,79.1,24.5,27.5,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-73.12629292,40.90415867
Winston-Salem,North America,United States,438,Wake Forest University,US,M,FC,VH,5,B,5.4,7.3,100,12.6,6,12.9,50.8,43,26.5,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-80.28186362,36.13548867
Pullman,North America,United States,443,Washington State University,US,L,FC,VH,5,A,25.5,24.4,15.3,36.2,57.4,6.4,78.7,13.3,26.3,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-117.1857658,46.7311772
Riverside,North America,United States,453,"University of California, Riverside",US,L,FC,VH,4,A,17.8,8.5,8,61.8,72,9.4,76,11.6,26.1,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-117.3306393,33.9737054
Troy,North America,United States,461,Rensselaer Polytechnic Institute,US,M,CO,VH,5,B,8.4,6.5,21,70.5,12.2,48.9,41,57.3,25.5,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-73.68146332,42.72976277
Fairbanks,North America,United States,467,University of Alaska Fairbanks,US,S,CO,VH,,A,3.1,3.7,99.6,16.2,5.6,3.4,44.5,8.3,25.3,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-147.8366346,64.85557477
Iowa City,North America,United States,467,University of Iowa,US,L,FC,VH,5,A,20.7,13.3,48.2,24.4,15.8,5.9,81.3,30.6,25.3,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-91.55755202,41.66270777
Ames,North America,United States,481,Iowa State University,US,L,CO,VH,5,A,19.4,13.9,7.9,65.8,6,10.3,85.1,31,24.8,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-93.64902652,42.02665727
Waltham,North America,United States,497,Brandeis University,US,M,CO,VH,4,B,9.6,3.8,55.7,22.3,19.4,68.5,20.3,55.1,24.3,2023,72.4,47.1,60.3,71.4,70.8,115.7,no,-71.26121862,42.36535697
Madison,North America,United States,83,University of Wisconsin-Madison,US,XL,FC,VH,5,A,82.4,48.1,70.6,41.9,37.7,23.8,93.2,84.6,63.7,2023,71.9,43.9,58.5,70.5,68.7,97.6,yes,-89.41506242,43.07659197
Vancouver,North America,Canada,47,University of British Columbia,CA,XL,FC,VH,5,A,98,95.4,56.5,42.1,89,74.9,97.9,75.2,77,2023,71.7,51.7,62.1,69.9,75,94,yes,-123.9647102,51.54680444
Amsterdam,Europe,Netherlands,58,University of Amsterdam,NL,XL,FC,VH,5,A,82.7,42.3,26.7,97.3,92.3,80.7,97.2,51.4,71.1,2023,71.4,48.7,60.5,56,76.2,101.7,yes,4.892597238,52.35959609
Amsterdam,Europe,Netherlands,214,Vrije Universiteit Amsterdam,NL,XL,FC,VH,5,A,39.7,12.6,30,70,64.6,33.5,89.8,19,42.3,2023,71.4,48.7,60.5,56,76.2,101.7,yes,4.863144977,52.33375677
Calgary,North America,Canada,242,University of Calgary,CA,XL,FC,VH,4,A,36.1,50.5,21.2,41.9,80.6,54.2,85.2,35.3,39,2023,71.3,32.3,52.6,65.3,71.8,117.1,yes,-114.1372409,51.0783738
Stockholm,Europe,Sweden,89,KTH Royal Institute of Technology ,SE,L,CO,VH,5,A,45.8,58.2,70,76.4,97.1,70.2,89.9,81.4,62.1,2023,70.8,36.5,54.4,63.1,66.5,94.6,yes,18.06768168,59.34987057
Stockholm,Europe,Sweden,153,Stockholm University,SE,L,CO,VH,4,A,54.5,17.7,29.2,62.5,82,77.1,97.3,69.3,50.1,2023,70.8,36.5,54.4,63.1,66.5,94.6,yes,18.05394868,59.36544757
Daejeon,Asia,South Korea,42,KAIST - Korea Advanced Institute of Science & Technology,KR,M,CO,VH,4,A,88.1,85.8,68.9,97.7,23.1,12.3,65.2,63.2,79.3,2023,70.4,17.5,45,87.5,37.6,85.5,no,127.3578151,36.37214267
Pohang ,Asia,South Korea,71,Pohang University of Science And Technology (POSTECH),KR,S,FO,VH,3,B,47.4,69.4,100,98,34.7,2.9,30.9,54.8,67.7,2023,70.4,17.5,45,87.5,37.6,85.5,no,129.3206087,36.01388567
Suwon,Asia,South Korea,99,Sungkyunkwan University(SKKU),KR,L,FC,VH,5,B,60.2,72.7,83.9,37.8,18.9,38.7,58.8,33.9,58.9,2023,70.4,17.5,45,87.5,37.6,85.5,no,126.9910311,37.58822697
Ulsan,Asia,South Korea,197,Ulsan National Institute of Science and Technology (UNIST),SK,S,FO,VH,2,A,11.8,7.4,79.8,99.9,38.3,12,31.7,14.9,44.1,2023,70.4,17.5,45,87.5,37.6,85.5,no,129.1870541,35.57341757
Hamburg,Europe,Germany,228,Universitat Hamburg,DE,L,FC,VH,5,A,50.8,19.8,16,58.9,43.3,21.1,93.2,34.4,40.7,2023,70.4,33.2,52.6,54.8,62.6,106.2,yes,9.904678198,53.51352257
